Бренд,Модель,Год,Город,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Руль,Цвет,Привод,Растаможен в Казахстане,Цена,Средння цена,На заказ,VIN,Аварийная/Не на ходу,Двигатель
Toyota,RAV 4, 1994,Нур-Султан (Астана),внедорожник,2 (бензин),289 000 км,автомат,справа,,полный привод,Да,2 300 000 ₸,2 401 000,,,,
Mitsubishi,Diamante, 1995,Алматы,седан,3 (бензин),193 000 км,автомат,справа,зеленый металлик,передний привод,Да,2 300 000 ₸,1 157 000,,,,
Skoda,Octavia, 2013,Алматы,хэтчбек,1.4 (бензин),,механика,слева,серый,передний привод,Да,5 300 000 ₸,4 156 000,,,,
ВАЗ (Lada),2170 (седан), 2012,Нур-Султан (Астана),седан,1.6 (бензин),,механика,слева,,,Да,2 200 000 ₸,1 882 000,,,,
Land Rover,Range Rover, 2003,Аягоз,внедорожник,4.4 (бензин),,автомат,слева,зеленый металлик,полный привод,Да,4 500 000 ₸,4 050 000,,,,
BMW,X5, 2005,Алматы,кроссовер,4.4 (бензин),200 000 км,типтроник,слева,черный металлик,полный привод,Да,5 400 000 ₸,5 396 000,,,,
ВАЗ (Lada),2170 (седан), 2008,Кызылорда,седан,1.6 (газ-бензин),,механика,слева,серебристый,передний привод,Нет,1 100 000 ₸,1 367 000,,XTA10015*51****51,,
ВАЗ (Lada),2107, 2005,Нур-Султан (Астана),седан,1.5 (бензин),80 000 км,механика,слева,красный,задний привод,Да,400 000 ₸,608 000,,,,
Mercedes-Benz,E 320, 2000,Алматы,седан,3.2 (бензин),,автомат,слева,черный металлик,задний привод,Да,3 800 000 ₸,3 820 000,,,,
Kia,Cerato, 2013,Нур-Султан (Астана),купе,2 (бензин),88 000 км,автомат,слева,серый металлик,передний привод,Да,5 150 000 ₸,5 281 000,,,,
Lexus,ES 350, 2006,Павлодар,седан,3.5 (бензин),278 415 км,типтроник,слева,черный,передний привод,Нет,4 850 000 ₸,5 670 000,,,,
Toyota,RAV 4, 2015,Алматы,кроссовер,2 (бензин),86 000 км,автомат,слева,белый,передний привод,Да,9 600 000 ₸,9 932 000,,,,
BMW,318, 1995,Тараз,седан,1.8 (бензин),278 000 км,механика,слева,синий металлик,задний привод,Да,1 500 000 ₸,1 442 000,,,,
Mitsubishi,Delica, 1996,Усть-Каменогорск,внедорожник,3 (бензин),350 000 км,автомат,справа,голубой металлик,полный привод,Да,3 700 000 ₸,2 966 000,,,,
Toyota,Camry, 2015,Нур-Султан (Астана),седан,2.5 (бензин),300 000 км,автомат,слева,белый,передний привод,Да,9 500 000 ₸,9 564 000,,,,
Lexus,RX 450h, 2012,Алматы,кроссовер,3.5 (гибрид),,вариатор,слева,серебристый металлик,полный привод,Да,15 000 000 ₸,13 500 000,,,,
Toyota,Avensis, 1998,Шымкент,универсал,2 (дизель),,механика,слева,серебристый металлик,передний привод,Да,2 200 000 ₸,2 370 000,,,,
Daewoo,Nexia, 2011,Уральск,седан,1.5 (бензин),,механика,слева,синий металлик,передний привод,Нет,1 050 000 ₸,1 510 000,,,,
Toyota,Land Cruiser, 2013,Усть-Каменогорск,внедорожник,4.6 (бензин),169 000 км,типтроник,слева,серебристый металлик,полный привод,Да,19 000 000 ₸,19 421 000,,,,
Audi,A6, 2007,Актобе,седан,3.2 (бензин),300 000 км,автомат,слева,серебристый,полный привод,Нет,3 100 000 ₸,4 180 000,,,,
Toyota,Land Cruiser, 2008,Алматы,внедорожник,4.7 (бензин),160 000 км,автомат,слева,белый,полный привод,Да,14 000 000 ₸,13 922 000,,,,
Lifan,X60, 2015,Уральск,кроссовер,1.8 (бензин),113 500 км,механика,слева,черный металлик,передний привод,Да,2 800 000 ₸,3 182 000,,,,
Subaru,Outback, 2009,Алматы,универсал,2.5 (бензин),291 000 км,вариатор,слева,серый,полный привод,Да,6 380 000 ₸,5 280 000,,,,
Nissan,Maxima, 2003,Алматы,седан,3.5 (бензин),180 000 км,автомат,слева,серый металлик,передний привод,Да,3 500 000 ₸,2 554 000,,,,
Hummer,H2, 2003,Алматы,внедорожник,6 (газ-бензин),,автомат,слева,серый,полный привод,Да,8 200 000 ₸,8 264 000,,,,
Toyota,Mark X, 2006,Алматы,седан,2.5 (бензин),120 000 км,автомат,справа,черный,задний привод,Нет,3 200 000 ₸,1 800 000,,,,
Land Rover,Range Rover, 2006,Актобе,внедорожник,4.2 (бензин),,автомат,слева,,,Нет,3 600 000 ₸,5 024 000,,,,
Toyota,Land Cruiser Prado, 1998,Караганда,внедорожник,3.4 (бензин),,автомат,справа,зеленый металлик,полный привод,Да,4 800 000 ₸,5 082 000,,,,
Kia,Soul, 2014,Алматы,хэтчбек,1.6 (бензин),66 000 км,автомат,слева,белый,передний привод,Да,7 800 000 ₸,6 214 000,,,,
Audi,80, 1989,Алматы,седан,1.9 (бензин),,механика,слева,бордовый,передний привод,Да,1 200 000 ₸,,,,,
Toyota,Camry, 2007,Нур-Султан (Астана),седан,2.4 (газ-бензин),366 789 км,автомат,слева,серебристый металлик,передний привод,Да,4 700 000 ₸,5 098 000,,,,
Hyundai,Grandeur, 2004,Уральск,седан,3.5 (газ-бензин),200 000 км,типтроник,слева,серебристый,передний привод,Да,2 550 000 ₸,2 550 000,,,,
Toyota,Camry, 2015,Алматы,седан,3.5 (бензин),114 000 км,типтроник,слева,белый металлик,передний привод,Да,10 400 000 ₸,9 564 000,,,,
Nissan,Pathfinder, 2007,Уральск,универсал,2.5 (дизель),120 000 км,автомат,слева,черный,полный привод,Нет,5 600 000 ₸,6 527 000,,,,
Kia,Rio, 2013,Нур-Султан (Астана),седан,1.6 (газ-бензин),172 000 км,автомат,слева,голубой металлик,передний привод,Да,4 300 000 ₸,4 090 000,,,,
Volkswagen,Passat CC, 2010,Узынагаш,седан,1.8 (бензин),222 544 км,автомат,слева,белый,передний привод,Да,4 700 000 ₸,4 244 000,,,,
Ford,Transit, 2012,Актобе,микроавтобус,2.4 (дизель),1 234 км,механика,слева,белый металлик,задний привод,Да,4 500 000 ₸,5 233 000,,,,
ВАЗ (Lada),2191 (лифтбек), 2015,Актобе,хэтчбек,1.6 (газ-бензин),45 000 км,механика,слева,серый металлик,передний привод,Да,2 600 000 ₸,2 423 000,,,,
Honda,Odyssey, 1997,Актобе,минивэн,2.2 (бензин),248 782 км,автомат,справа,серебристый металлик,полный привод,Нет,1 700 000 ₸,2 541 000,,,,
ВАЗ (Lada),2170 (седан), 2008,Нур-Султан (Астана),седан,1.6 (бензин),180 000 км,механика,слева,зеленый,передний привод,Нет,900 000 ₸,1 367 000,,,,
Chevrolet,Cruze, 2012,Нур-Султан (Астана),седан,1.8 (бензин),,вариатор,слева,серебристый,передний привод,Да,3 850 000 ₸,3 489 000,,,,
Toyota,Land Cruiser Prado, 2007,Нур-Султан (Астана),внедорожник,2.7 (газ-бензин),215 772 км,автомат,слева,белый металлик,полный привод,Да,8 000 000 ₸,9 262 000,,,,
Toyota,Camry, 2005,Алматы,седан,2.4 (газ-бензин),,автомат,слева,белый,передний привод,Да,4 500 000 ₸,4 575 000,,,,
Lexus,RX 300, 1999,Нур-Султан (Астана),кроссовер,3 (газ-бензин),3 200 000 км,автомат,слева,белый,полный привод,Да,4 000 000 ₸,3 962 000,,,,
Mercedes-Benz,CLK 320, 1997,Алматы,купе,3.2 (бензин),,автомат,слева,серый металлик,задний привод,Да,2 700 000 ₸,2 700 000,,,,
ВАЗ (Lada),2170 (седан), 2013,Атырау,седан,1.6 (бензин),,механика,слева,черный металлик,передний привод,Да,600 000 ₸,,,,Да,
Land Rover,Range Rover Velar, 2018,Нур-Султан (Астана),кроссовер,2 (бензин),12 000 км,автомат,слева,красный металлик,полный привод,Да,28 500 000 ₸,30 775 000,,,,
ГАЗ,ГАЗель, 2006,Шымкент,фургон,2.4 (газ-бензин),,механика,слева,белый,задний привод,Да,4 100 000 ₸,3 066 000,,,,
Toyota,Camry, 2019,Нур-Султан (Астана),седан,3.5 (бензин),68 000 км,автомат,слева,белый,,Да,16 800 000 ₸,13 687 000,,,,
Toyota,Alphard, 2006,Нур-Султан (Астана),минивэн,3 (бензин),173 000 км,автомат,справа,черный металлик,полный привод,Нет,3 800 000 ₸,6 850 000,,,,
ГАЗ,ГАЗель, 2003,Сарыагаш,фургон,2.3 (газ-бензин),,механика,слева,белый,задний привод,Да,2 320 000 ₸,2 599 000,На заказ,XTH33020*30****86,,
BMW,X6, 2008,Алматы,кроссовер,3 (бензин),78 000 км,автомат,слева,бордовый металлик,полный привод,Да,9 500 000 ₸,8 160 000,,,,
Land Rover,Range Rover Sport, 2014,Шымкент,внедорожник,5 (бензин),59 253 км,автомат,слева,белый,полный привод,Да,21 500 000 ₸,20 160 000,,,,
Lexus,RX 350, 2006,Караганда,кроссовер,3.5 (бензин),170 000 км,автомат,справа,серый металлик,,Нет,5 900 000 ₸,7 495 000,,,,
Skoda,Superb, 2014,Петропавловск,хэтчбек,2 (бензин),150 317 км,автомат,слева,черный металлик,передний привод,Да,5 700 000 ₸,5 903 000,,,,
Audi,80, 1991,Акколь (Аккольский р-н),седан,1.8 (бензин),,механика,слева,черный,передний привод,Да,750 000 ₸,922 000,,,,
Chrysler,300C, 2006,Актобе,седан,5.7 (бензин),140 км,автомат,слева,черный,задний привод,Да,4 500 000 ₸,3 973 000,,,,
Nissan,Primera, 2004,Актобе,седан,2 (бензин),225 000 км,автомат,слева,серый,,Нет,2 000 000 ₸,2 305 000,,,,
Mercedes-Benz,E 320, 1998,Актау,седан,3.2 (газ-бензин),213 000 км,автомат,слева,,полный привод,Нет,2 800 000 ₸,3 209 000,,,,
Kia,Soul, 2017,Уральск,кроссовер,1.6 (бензин),32 000 км,типтроник,слева,белый металлик,передний привод,Нет,4 900 000 ₸,7 400 000,,,,
Lexus,LX 570, 2018,Алматы,внедорожник,5.7 (бензин),56 000 км,типтроник,слева,черный металлик,полный привод,Да,42 500 000 ₸,43 233 000,,kzzzzzzz*zz****zz,,
Mercedes-Benz,E 230, 1998,Атырау,седан,2.3 (бензин),,автомат,слева,серебристый металлик,задний привод,Нет,1 300 000 ₸,2 175 000,,,,
